row,A,B,C,D,E,F,G,H,I,J,L,M
1,Sample Project,,,,,,,,,,"Enter information, then, Hide Columns ""L"" ""M"" & ""N"" once finished by selecting the columns and right-clicking, then select ""hide columns""        ",
2,Product,Unit Type,Qty,Unit Price,Total,Total Cabinets,Trim Per Unit,Total Trim,Handles Per Unit,Cabinet Hardware Count,Cabinet Style:,Frameless
3,"IF(M2=""Frameless"", ""Frameless"", ""Framed"")",Unit 1,1,SUM('Unit Type'!G71:G72),C3*D3,'Unit Type'!C74,'Unit Type'!C72,G3*C3,'Unit Type'!I71,I3*C3,Cabinet Finish:,Natural Oak
4,,,,SUM('Unit Type (2)'!G71:G72),0,'Unit Type (2)'!C74,'Unit Type (2)'!C72,0,'Unit Type (2)'!I71,0,Box Construction:,Plywood
5,,,,SUM('Unit Type (3)'!G71:G72),0,'Unit Type (3)'!C74,'Unit Type (3)'!C72,0,'Unit Type (3)'!I71,0,Price Margin:,Purchase Price (0%)
6,,,,SUM('Unit Type (4)'!G71:G72),0,'Unit Type (4)'!C74,'Unit Type (4)'!C72,0,'Unit Type (4)'!I71,0,Factor:,"IF('Summary Sheet'!M2:N2=""Framed"",VLOOKUP(M5,List!B20:C70,2,FALSE),IF('Summary Sheet'!M2:N2=""Frameless"",VLOOKUP(M5,List!B20:D70,3,FALSE),""Select Cabinet Style""))"
7,,,,SUM('Unit Type (5)'!G71:G72),0,'Unit Type (5)'!C74,'Unit Type (5)'!C72,0,'Unit Type (5)'!I71,0,,
8,,,,SUM('Unit Type (6)'!G71:G72),0,'Unit Type (6)'!C74,'Unit Type (6)'!C72,0,'Unit Type (6)'!I71,0,Handle Price (Per Handle):,2.2000000000000002
9,,,,SUM('Unit Type (7)'!G71:G72),0,'Unit Type (7)'!C74,'Unit Type (7)'!C72,0,'Unit Type (7)'!I71,0,Build Cost (Per Box):,20
10,,,,SUM('Unit Type (8)'!G71:G72),0,'Unit Type (8)'!C74,'Unit Type (8)'!C72,0,'Unit Type (8)'!I71,0,Shipping Per Unit:,90
11,,,,SUM('Unit Type (9)'!G71:G72),0,'Unit Type (9)'!C74,'Unit Type (9)'!C72,0,'Unit Type (9)'!I71,0,,
12,,,,SUM('Unit Type (10)'!G71:G72),0,'Unit Type (10)'!C74,'Unit Type (10)'!C72,0,'Unit Type (10)'!I71,0,"Make a copy of this sheet before you begin. OPEN, then SAVE AS your project name. Then fire away! Start by filling out the unit type information, the Summary Sheet will populate as the unit types are completed. You only need to enter the ""Unit Type"" name and ""QTY"" on the summary sheet. Leave the ""Unit Price"", ""Total"", ""Total Cabinets"", and ""Cabinet Hardware Count"" fields alone.",
13,,,,SUM('Unit Type (11)'!G71:G72),0,'Unit Type (11)'!C74,'Unit Type (11)'!C72,0,'Unit Type (11)'!I71,0,,
14,,,,SUM('Unit Type (12)'!G71:G72),0,'Unit Type (12)'!C74,'Unit Type (12)'!C72,0,'Unit Type (12)'!I71,0,,
15,,,,SUM('Unit Type (13)'!G71:G72),0,'Unit Type (13)'!C74,'Unit Type (13)'!C72,0,'Unit Type (13)'!I71,0,,
16,,,,SUM('Unit Type (14)'!G71:G72),0,'Unit Type (14)'!C74,'Unit Type (14)'!C72,0,'Unit Type (14)'!I71,0,,
