row,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S
2,,,ONYX BLACK,,WHITE SHAKER,,ESPRESSO SHAKER,,SIGNATURE BLUE,,Grey Shaker,,Uptown White,,Modern Slate,,Dark Green Slim Shaker,,
3,Description,Cabinet Name,List Price,Inventory Code,List Price,Inventory Code,List Price,Inventory Code,List Price,Inventory Code,List Price,Inventory Code,List Price,Inventory Code,List Price,Inventory Code,List Price,Inventory Code,
4,"Base Cabinets with Drawer, 24"" Depth",,,,,,,,,,,,,,,,,,
5,"9"" Base Cabinet: 1 Door & 1 Drawer",B09,476,"CONCATENATE(""ONB-"",B5)",433,"CONCATENATE(""WHS-"",B5)",476,"CONCATENATE(""ESS-"",B5)",476,"CONCATENATE(""SIB-"",B5)",433,"CONCATENATE(""GRS-"",B5)",476,"CONCATENATE(""UPB-"",B5)",476,"CONCATENATE(""MSL-"",B5)",476,"CONCATENATE(""DGS-"",B5)",2
6,"12"" Base Cabinet: 1 Door & 1 Drawer",B12,618,ONB-B12,562,WHS-B12,618,ESS-B12,618,SIB-B12,562,GRS-B12,618,UPB-B12,618,MSL-B12,618,DGS-B12,2
7,"15"" Base Cabinet: 1 Door & 1 Drawer",B15,677,ONB-B15,615,WHS-B15,677,ESS-B15,677,SIB-B15,615,GRS-B15,677,UPB-B15,677,MSL-B15,677,DGS-B15,2
8,"18"" Base Cabinet: 1 Door & 1 Drawer",B18,706,ONB-B18,642,WHS-B18,706,ESS-B18,706,SIB-B18,642,GRS-B18,706,UPB-B18,706,MSL-B18,706,DGS-B18,2
9,"18"" Base Trash Cabinet: 1 Door & 1 Drawer with two 27 qt. Trash Cans",BWBK18-2,1311,ONB-BWBK18-2,1192,WHS-BWBK18-2,1311,ESS-BWBK18-2,1311,SIB-BWBK18-2,1192,GRS-BWBK18-2,1311,UPB-BWBK18-2,1311,MSL-BWBK18-2,1311,DGS-BWBK18-2,2
10,"21"" Base Cabinet: 1 Door & 1 Drawer",B21,754,ONB-B21,685,WHS-B21,754,ESS-B21,754,SIB-B21,685,GRS-B21,754,UPB-B21,754,MSL-B21,754,DGS-B21,2
11,"24"" Base Cabinet: 2 Doors & 1 Drawer",B24,806,ONB-B24,733,WHS-B24,806,ESS-B24,806,SIB-B24,733,GRS-B24,806,UPB-B24,806,MSL-B24,806,DGS-B24,3
12,"27"" Base Cabinet: 2 Doors & 1 Drawer",B27,971,ONB-B27,883,WHS-B27,971,ESS-B27,971,SIB-B27,883,GRS-B27,971,UPB-B27,971,MSL-B27,971,DGS-B27,3
13,"30"" Base Cabinet: 2 Doors & 1 Drawer",B30,1007,ONB-B30,915,WHS-B30,1007,ESS-B30,1007,SIB-B30,915,GRS-B30,1007,UPB-B30,1007,MSL-B30,1007,DGS-B30,3
14,"33"" Base Cabinet: 2 Doors & 2 Drawers",B33,1054,ONB-B33,958,WHS-B33,1054,ESS-B33,1054,SIB-B33,958,GRS-B33,1054,UPB-B33,1054,MSL-B33,1054,DGS-B33,3
15,"36"" Base Cabinet: 2 Doors & 2 Drawers",B36,1095,ONB-B36,995,WHS-B36,1095,ESS-B36,1095,SIB-B36,995,GRS-B36,1095,UPB-B36,1095,MSL-B36,1095,DGS-B36,4
16,"42"" Base Cabinet: 2 Doors & 2 Drawers",B42,1330,ONB-B42,1209,WHS-B42,1330,ESS-B42,1330,SIB-B42,1209,GRS-B42,1330,UPB-B42,1330,MSL-B42,1330,DGS-B42,4
17,"Base Cabinets with Full Height Door, 24"" Depth",,,,,,,,,,,,,,,,,,
18,"9"" Base Cabinet: 1 Full-height Door",B09FHD,421,"CONCATENATE(""ONB-"",B18)",383,"CONCATENATE(""WHS-"",B18)",421,"CONCATENATE(""ESS-"",B18)",421,"CONCATENATE(""SIB-"",B18)",383,"CONCATENATE(""GRS-"",B18)",421,"CONCATENATE(""UPB-"",B18)",421,"CONCATENATE(""MSL-"",B18)",421,"CONCATENATE(""DGS-"",B18)",1
19,"24"" Base Cabinet: 2 Full-height Doors",B24FHD,751,ONB-B24FHD,683,WHS-B24FHD,751,ESS-B24FHD,751,SIB-B24FHD,683,GRS-B24FHD,751,UPB-B24FHD,751,MSL-B24FHD,751,DGS-B24FHD,2
20,"3 Drawer Base Cabinets, 24"" Depth",,,,,,,,,,,,,,,,,,
21,"12"" Base Cabinet: 3 Drawers, Drawers are 7"", 11"" and 11"" tall",3DB12,883,"CONCATENATE(""ONB-"",B21)",803,"CONCATENATE(""WHS-"",B21)",883,"CONCATENATE(""ESS-"",B21)",883,"CONCATENATE(""SIB-"",B21)",803,"CONCATENATE(""GRS-"",B21)",883,"CONCATENATE(""UPB-"",B21)",883,"CONCATENATE(""MSL-"",B21)",883,"CONCATENATE(""DGS-"",B21)",3
22,"15"" Base Cabinet: 3 Drawers, Drawers are 7"", 11"" and 11"" tall",3DB15,942,ONB-3DB15,856,WHS-3DB15,942,ESS-3DB15,942,SIB-3DB15,856,GRS-3DB15,942,UPB-3DB15,942,MSL-3DB15,942,DGS-3DB15,3
23,"18"" Base Cabinet: 3 Drawers, Drawers are 7"", 11"" and 11"" tall",3DB18,982,ONB-3DB18,893,WHS-3DB18,982,ESS-3DB18,982,SIB-3DB18,893,GRS-3DB18,982,UPB-3DB18,982,MSL-3DB18,982,DGS-3DB18,3
24,"21"" Base Cabinet: 3 Drawers, Drawers are 7"", 11"" and 11"" tall",3DB21,1024,ONB-3DB21,931,WHS-3DB21,1024,ESS-3DB21,1024,SIB-3DB21,931,GRS-3DB21,1024,UPB-3DB21,1024,MSL-3DB21,1024,DGS-3DB21,3
25,"24"" Base Cabinet: 3 Drawers, Drawers are 7"", 11"" and 11"" tall",3DB24,1071,ONB-3DB24,974,WHS-3DB24,1071,ESS-3DB24,1071,SIB-3DB24,974,GRS-3DB24,1071,UPB-3DB24,1071,MSL-3DB24,1071,DGS-3DB24,3
26,"30"" Base Cabinet: 3 Drawers, Drawers are 7"", 11"" and 11"" tall",3DB30,1172,ONB-3DB30,1065,WHS-3DB30,1172,ESS-3DB30,1172,SIB-3DB30,1065,GRS-3DB30,1172,UPB-3DB30,1172,MSL-3DB30,1172,DGS-3DB30,3
27,"36"" Base Cabinet: 3 Drawers, Drawers are 7"", 11"" and 11"" tall",3DB36,1312,ONB-3DB36,1193,WHS-3DB36,1312,ESS-3DB36,1312,SIB-3DB36,1193,GRS-3DB36,1312,UPB-3DB36,1312,MSL-3DB36,1312,DGS-3DB36,3
28,"2 Drawer Base Cabinets, 24"" Depth",,,,,,,,,,,,,,,,,,
29,"24"" Base Cabinet: 2 Drawers, Drawers are 14.5"" tall",2DB24,1071,"CONCATENATE(""ONB-"",B29)",974,"CONCATENATE(""WHS-"",B29)",1071,"CONCATENATE(""ESS-"",B29)",1071,"CONCATENATE(""SIB-"",B29)",974,"CONCATENATE(""GRS-"",B29)",1071,"CONCATENATE(""UPB-"",B29)",1071,"CONCATENATE(""MSL-"",B29)",1071,"CONCATENATE(""DGS-"",B29)",2
30,"30"" Base Cabinet: 2 Drawers, Drawers are 14.5"" tall",2DB30,1172,ONB-2DB30,1065,WHS-2DB30,1172,ESS-2DB30,1172,SIB-2DB30,1065,GRS-2DB30,1172,UPB-2DB30,1172,MSL-2DB30,1172,DGS-2DB30,2
31,"36"" Base Cabinet: 2 Drawers, Drawers are 14.5"" tall",2DB36,1312,ONB-2DB36,1193,WHS-2DB36,1312,ESS-2DB36,1312,SIB-2DB36,1193,GRS-2DB36,1312,UPB-2DB36,1312,MSL-2DB36,1312,DGS-2DB36,2
32,"Sink Base Cabinets, 24"" Depth",,,,,,,,,,,,,,,,,,
33,"30"" Base Cabinet: 2 Doors & 1 False Drawer",SB30,741,"CONCATENATE(""ONB-"",B33)",674,"CONCATENATE(""WHS-"",B33)",741,"CONCATENATE(""ESS-"",B33)",741,"CONCATENATE(""SIB-"",B33)",674,"CONCATENATE(""GRS-"",B33)",741,"CONCATENATE(""UPB-"",B33)",741,"CONCATENATE(""MSL-"",B33)",741,"CONCATENATE(""DGS-"",B33)",2
34,"33"" Base Cabinet: 2 Doors & 1 False Drawer",SB33,794,ONB-SB33,722,WHS-SB33,794,ESS-SB33,794,SIB-SB33,722,GRS-SB33,794,UPB-SB33,794,MSL-SB33,794,DGS-SB33,2
35,"36"" Base Cabinet: 2 Doors & 2 False Drawers",SB36,812,ONB-SB36,738,WHS-SB36,812,ESS-SB36,812,SIB-SB36,738,GRS-SB36,812,UPB-SB36,812,MSL-SB36,812,DGS-SB36,2
